Jogos;preço;;Jogos;Downloads;;;;
3DCoat 4,8;R$ 95,99;;Dota 2;100000000;;;;
Leadwerks Game Engine;R$ 78,99;;Counter-Strike: Global Offensive;50000000;;;;
Aartform Curvy 3D 3,0;R$ 75,99;;Team Fortress 2;20000000;;;;
Clickteam Fusion 2,5;R$ 69,99;;Warframe;20000000;;;;
Wing IDE 5;R$ 60,99;;Path of Exile;10000000;;;;
RPG Maker VX Ace;R$ 52,99;;Counter-Strike: Source;10000000;;;;
Call of DutyÂ®: Advanced Warfare - Gold Edition;R$ 39,99;;Portal;10000000;;;;
Call of DutyÂ®: Black Ops II;R$ 39,99;;Garry's Mod;10000000;;;;
Call of DutyÂ®: Ghosts;R$ 39,99;;Counter-Strike: Condition Zero;10000000;;;;
Wreckfest;R$ 38,99;;Half-Life 2;10000000;;;;
Total Geral;R$ 593,90;;PAYDAY 2;10000000;;;;
;;;Half-Life 2: Deathmatch;10000000;;;;
Jogos;Avaliações Positivas;;Portal 2;10000000;;;;
Counter-Strike: Global Offensive;2644404;;War Thunder;10000000;;;;
Dota 2;863507;;The Elder Scrolls V: Skyrim;10000000;;;;
Team Fortress 2;515879;;Counter-Strike;10000000;;;;
Garry's Mod;363721;;Left 4 Dead 2;10000000;;;;
PAYDAY 2;308657;;Half-Life 2: Lost Coast;10000000;;;;
Terraria;255600;;Heroes & Generals;10000000;;;;
Left 4 Dead 2;251789;;Total Geral;340000000;;;;
Rocket LeagueÂ®;242561;;;;;;;
The Elder Scrolls V: Skyrim;237303;;;;;;;
Warframe;226541;;;;;;;
Total Geral;5909962;;;;;;;
;;;;Jogos;Avaliações Negativas;;;
;;;;Counter-Strike: Global Offensive;402313;;;
;;;;Dota 2;142079;;;
;;;;DayZ;77169;;;
Generos dos Jogos;Downloads;Avaliações Positivas;;PAYDAY 2;56523;;;
Strategy;69580000;496778;;Rust;53709;;;
RPG;37830000;445650;;Heroes & Generals;34416;;;
"Indie;Simulation";19790000;606208;;Team Fortress 2;34036;;;
"Action;RPG";36750000;847986;;War Thunder;22166;;;
"Action;Indie";29620000;280466;;Rocket LeagueÂ®;21816;;;
"Action;Free to Play;Strategy";100100000;864170;;Warframe;20268;;;
"Action;Free to Play";97000000;3412469;;Total Geral;864495;;;
"Action;Adventure;Indie";24020000;302952;;;;;;
"Action;Adventure";74850000;1003141;;;;;;
Action;268530000;1830527;;;;;;
Total Geral;758070000;10090347;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
Rótulos de Linha;Soma de preco;;;;;;;
Strategy;R$ 1.550,40;;;;;;;
Simulation;R$ 526,11;;;;;;;
RPG;R$ 535,26;;;;;;;
"Indie;Strategy";R$ 581,90;;;;;;;
"Adventure;Indie";R$ 708,96;;;;;;;
Adventure;R$ 701,61;;;;;;;
"Action;Indie";R$ 877,29;;;;;;;
"Action;Adventure;Indie";R$ 567,18;;;;;;;
"Action;Adventure";R$ 1.216,45;;;;;;;
Action;R$ 2.504,88;;;;;;;
Total Geral;R$ 9.770,04;;;;;;;
